time,open,high,low,close,tick_volume,spread,real_volume
2021-04-22,1793.759,1797.896,1777.463,1783.236,103345,0,0
2021-04-23,1783.226,1796.019,1769.964,1777.163,95736,0,0
2021-04-25,1775.736,1776.12,1773.96,1774.928,2892,0,0
2021-04-26,1774.943,1783.539,1768.729,1780.14,96240,0,0
2021-04-27,1780.146,1785.654,1773.707,1775.536,93506,0,0
2021-04-28,1775.53,1784.045,1762.623,1783.958,111864,0,0
2021-04-29,1783.922,1789.996,1756.064,1773.321,110943,0,0
2021-04-30,1773.32,1773.32,1764.264,1768.916,102867,0,0
2021-05-02,1767.198,1769.164,1766.186,1769.157,3264,0,0
2021-05-03,1769.12,1798.016,1767.414,1792.612,87266,0,0
2021-05-04,1792.565,1799.141,1770.761,1778.727,106890,0,0
2021-05-05,1778.695,1788.037,1770.418,1785.359,96179,0,0
2021-05-06,1785.36,1818.163,1782.074,1814.865,90953,0,0
2021-05-07,1814.855,1843.452,1812.985,1831.119,118723,0,0
2021-05-09,1833.036,1836.927,1832.135,1836.302,4239,0,0
2021-05-10,1836.324,1845.462,1830.087,1836.183,95105,0,0
2021-05-11,1836.185,1841.849,1817.996,1835.573,98749,0,0
2021-05-12,1835.578,1843.702,1813.37,1817.629,117076,0,0
